Symbol,Name,Frequency
MVIS,MicroVision Inc. Common Stock,527
GME,GameStop Corporation Common Stock,324
OCGN,Ocugen Inc. Common Stock,234
AMD,Advanced Micro Devices Inc. Common Stock,207
PLTR,Palantir Technologies Inc. Class A Common Stock,168
COIN,Coinbase Inc. Common Stock,147
TSLA,Tesla Inc. Common Stock,137
AAPL,Apple Inc. Common Stock,104
INTC,Intel Corporation Common Stock,93
CLOV,Clover Health Investments Corp. Class A Common Stock,69
RIOT,Riot Blockchain Inc.  Common Stock,64
SNAP,Snap Inc. Class A Common Stock,58
SKLZ,Skillz Inc. Class A Common Stock,53
NIO,NIO Inc. American depositary shares each  representing one Class A ordinary share,51
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,50
MARA,Marathon Patent Group Inc. Common Stock,47
ATH,Athene Holding Ltd. Class A Common Shares,46
EOD,Wells Fargo Global Dividend Opportunity Fund,41
C,Citigroup Inc. Common Stock,40
F,Ford Motor Company Common Stock,38
NKLA,Nikola Corporation Common Stock,37
U,Unity Software Inc. Common Stock,37
DTE,DTE Energy Company Common Stock,33
VIAC,ViacomCBS Inc. Class B Common Stock,31
B,Barnes Group Inc. Common Stock,29
NFLX,Netflix Inc. Common Stock,27
BB,BlackBerry Limited Common Stock,27
T,AT&T Inc.,23
AMZN,Amazon.com Inc. Common Stock,22
SQ,Square Inc. Class A Common Stock,21
PM,Philip Morris International Inc Common Stock,20
IRS,IRSA Inversiones Y Representaciones S.A. Common Stock,20
AM,Antero Midstream Corporation Common Stock,18
G,Genpact Limited Common Stock,18
NET,Cloudflare Inc. Class A Common Stock,18
TA,TravelCenters of America Inc. Common Stock,18
EV,Eaton Vance Corporation Common Stock,17
DKNG,DraftKings Inc. Class A Common Stock,17
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,16
SP,SP Plus Corporation Common Stock,15
TD,Toronto Dominion Bank (The) Common Stock,15
USA,Liberty All-Star Equity Fund Common Stock,15
D,Dominion Energy Inc. Common Stock,15
PTON,Peloton Interactive Inc. Class A Common Stock,15
PLUG,Plug Power Inc. Common Stock,15
CC,Chemours Company (The) Common Stock,14
MSFT,Microsoft Corporation Common Stock,14
ASO,Academy Sports and Outdoors Inc. Common Stock,13
IT,Gartner Inc. Common Stock,13
RKT,Rocket Companies Inc. Class A Common Stock,13
NOK,Nokia Corporation Sponsored American Depositary Shares,12
IMO,Imperial Oil Limited Common Stock,12
PT,Pintec Technology Holdings Limited American Depositary Shares,12
TV,Grupo Televisa S.A. Common Stock,12
X,United States Steel Corporation Common Stock,12
APHA,Aphria Inc. Common Shares,12
NVDA,NVIDIA Corporation Common Stock,12
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,11
UWMC,UWM Holdings Corporation Class A Common Stock,11
CRSR,Corsair Gaming Inc. Common Stock,10
CEO,CNOOC Limited Common Stock,10
R,Ryder System Inc. Common Stock,10
RSI,Rush Street Interactive Inc. Class A Common Stock,10
DIS,Walt Disney Company (The) Common Stock,9
L,Loews Corporation Common Stock,9
AI,C3.ai Inc. Class A Common Stock,9
UK,Ucommune International Ltd Ordinary Shares,9
O,Realty Income Corporation Common Stock,8
SAM,Boston Beer Company Inc. (The) Common Stock,8
TLRY,Tilray Inc. Class 2 Common Stock,8
ALL,Allstate Corporation (The) Common Stock,8
JD,JD.com Inc. American Depositary Shares,8
LAZR,Luminar Technologies Inc.  Class A Common Stock,8
FB,Facebook Inc. Class A Common Stock,8
V,Visa Inc.,8
PINS,Pinterest Inc. Class A Common Stock,8
W,Wayfair Inc. Class A Common Stock,7
SPCE,Virgin Galactic Holdings Inc. Common Stock,7
MT,Arcelor Mittal NY Registry Shares NEW,6
J,Jacobs Engineering Group Inc. Common Stock,6
DISCA,Discovery Inc. Series A Common Stock,6
NVAX,Novavax Inc. Common Stock,6
NOW,ServiceNow Inc. Common Stock,6
GOEV,Canoo Inc. Class A Common Stock,6
E,ENI S.p.A. Common Stock,6
MU,Micron Technology Inc. Common Stock,6
GM,General Motors Company Common Stock,6
LMAO,LMF Acquisition Opportunities Inc.,6
CLF,Cleveland-Cliffs Inc. Common Stock,6
BA,Boeing Company (The) Common Stock,6
FUBO,fuboTV Inc. Common Stock,5
ENPH,Enphase Energy Inc. Common Stock,5
FSR,Fisker Inc. Class A Common Stock,5
GDP,Goodrich Petroleum Corporation Common Stock,5
ET,Energy Transfer LP Common Units,5
SNDL,Sundial Growers Inc. Common Shares,5
IQ,iQIYI Inc. American Depositary Shares,5
LULU,lululemon athletica inc. Common Stock,5
UMC,United Microelectronics Corporation (NEW) Common Stock,5
ARE,Alexandria Real Estate Equities Inc. Common Stock,5
INO,Inovio Pharmaceuticals Inc. Common Stock,5
OUT,OUTFRONT Media Inc. Common Stock,5
UI,Ubiquiti Inc. Common Stock,5
HYLN,Hyliion Holdings Corp. Class A Common Stock,4
TAP,Molson Coors Beverage Company Class B Common Stock,4
Y,Alleghany Corporation Common Stock,4
SO,Southern Company (The) Common Stock,4
OR,Osisko Gold Royalties Ltd Common Shares,4
PS,Pluralsight Inc. Class A Common Stock,4
GE,General Electric Company Common Stock,4
NYC,New York City REIT Inc. Class A Common Stock,4
ITT,ITT Inc. Common Stock,4
GS,Goldman Sachs Group Inc. (The) Common Stock,4
TME,Tencent Music Entertainment Group American Depositary Shares each representing two Class A Ordinary Shares,4
